[Header]
; ACMS II Data File (default extension .dat)
; Copyright (c) 2014, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3875393061.808,10/20/2022,2:05 am
BYAPP,ACMS II,1.0,1.2
INFO,DYNACOOL ACMS II Option Release 1.0.8 Build 33,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 K0,MOTOR_HW_VERSION
INFO,MMC794,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,ACMS,ACMS_MODULE_NAME
INFO,3101-430 A0,ACMS_HW_VERSION
INFO,ACMSII028,ACMS_SERIAL_NUMBER
INFO,00.14.14,ACMS_SOFTWARE_VERSION
INFO,WF046,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,NiCl2-btdm,SAMPLE_MATERIAL
INFO,4.8mg cling film,SAMPLE_COMMENT
INFO,22.1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
STARTUPGROUP, AC
FIELDGROUP, AC, 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,21,22,23,24,25,35,43,44,45,46,47,48,49
FIELDGROUP, DC, 2,3,4,17,18,19,20,21,23,24,25,35,36,37,43,44,45,46,47,48,49,50,51
FIELDGROUP, Diagnostic, 26,27,28,29,30,31,32,33,34,38,39,40,41,42,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),AC Moment (emu),AC Std. Dev. (emu),AC Phase (deg),AC Phase Std. Dev. (deg),AC Suscept. (emu/Oe),AC Suscept. Std. Dev. (emu/Oe),AC X'  (emu/Oe),AC X" (emu/Oe),AC X' Std. Dev. (emu/Oe),AC X" Std. Dev. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),DC Moment (emu),DC Std. Err. (emu),DC Quad. Moment (emu),Range (mV),"AC=1 DC=2 Locate=3",Measure Type,Measure Count,Measure Time (sec),Measure Number,AC X' Raw (emu/Oe),AC X" Raw (emu/Oe),DC M. Raw' (emu),DC M. Raw" (emu),Coil InPhase (V),Coil Quadrature (V),Null Status,Trim Ratio,Trim Phase (deg.),Max. Signal (mV),Motor Frequency (Hz),Motor Ampl. (mm),System Temp. (K),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Pressure (Torr),Temp. Status (code),Field Status (code),Chamber Status (code),Measure Status (code),Center Position (mm),Transport Action,Motor Lag (deg),Motor Current (amps),Motor Heatsink Temp. (C),Motor Board Temp. (C),QMap 01,QMap 02,QMap 03,QMap 04,QMap 05,QMap 06,QMap 07,QMap 08,QMap 09,QMap 10,QMap 11,QMap 12,QMap 13,QMap 14,QMap 15,QMap 16
,3875403702.01046,1.80164906978607,-124310.88671875,,,,,,,,,,,,,-0.549527993793981,3.87607364739974E-5,0.00194071282176398,10,2,,80,2,4050,,,-0.53512107192373,-0.00853388301085672,-0.00325798545964062,0.00118266558274627,,,,0.135751589639756,39.995735168457,1.99893600859827,1.7313266992569,1.8013551235199,1.80191099643707,-124363.8671875,-124257.90625,0.0546318776905537,1,6,3,4,23.1730000402331,1,20.6479051324347,1.12266540527344,43.49951171875,39.5894432067871,,,,,,,,,,,,,,,,
,3875403704.0661,1.80177834033966,-124414.40234375,,,,,,,,,,,,,-0.549984741301402,3.05667913301299E-5,0.00192573996761433,10,2,,80,2,4051,,,-0.535572885676266,-0.00856114144051992,-0.00326067698188126,0.00118367583490908,,,,0.135864006235173,39.995735168457,1.99890427422229,1.7312148809433,1.80157005786896,1.80195510387421,-124464.9375,-124363.8671875,0.0545702055096626,1,6,3,4,23.1730000402331,1,20.6462760916866,1.12907409667969,43.9882698059082,40.0782012939453,,,,,,,,,,,,,,,,
,3875403706.11731,1.80183868408203,-124518.0390625,,,,,,,,,,,,,-0.550436998915615,4.01052713374518E-5,0.00194288900673609,10,2,,80,2,4052,,,-0.536020958712381,-0.00855704179634373,-0.00326334405690432,0.00118461879901588,,,,0.135975188294916,39.995735168457,1.99886170141102,1.7313095331192,1.80168294906616,1.80197131633759,-124571.140625,-124464.9375,0.0546043626964092,1,6,3,4,23.1730000402331,1,20.6470882811968,1.12197875976562,43.9882698059082,39.5894432067871,,,,,,,,,,,,,,,,
,3875403708.15586,1.80180714130402,-124621.46875,,,,,,,,,,,,,-0.550874380759798,3.36616887886517E-5,0.00193045504385489,10,2,,80,2,4053,,,-0.536453983105723,-0.00858145826005796,-0.00326602719724178,0.00118568271864206,,,,0.136087597451478,39.995735168457,1.9989080668971,1.73094153404236,1.80152213573456,1.80197131633759,-124671.796875,-124571.140625,0.0545324496924877,1,6,3,4,23.1730000402331,1,20.6466130576235,1.12220764160156,43.49951171875,39.5894432067871,,,,,,,,,,,,,,,,
,3875403710.20865,1.80137982964516,-124722.30078125,,,,,,,,,,,,,-0.55133636614701,3.53813715579319E-5,0.00194222131255775,10,2,,80,2,4054,,,-0.536911252764988,-0.00858267677279301,-0.00326878484338522,0.00118666398338974,,,,0.13620264375526,39.995735168457,1.99888798739402,1.73111009597778,1.80122673511505,1.80152356624603,-124772.8046875,-124671.796875,0.0546229742467403,1,6,3,4,23.1730000402331,1,20.6469559070907,1.12174987792969,43.49951171875,40.0782012939453,,,,,,,,,,,,,,,,
,3875403712.26159,1.80156648159027,-124826.0234375,,,,,,,,,,,,,-0.551763145467066,3.42542629984477E-5,0.00193251707542851,10,2,,80,2,4055,,,-0.537334050696839,-0.00860424592741746,-0.00327139045111835,0.00118755549192429,,,,0.136310868021757,39.995735168457,1.99889591269438,1.73114657402039,1.80150425434113,1.8016505241394,-124879.2421875,-124772.8046875,0.0545204617083073,1,6,3,4,23.1730000402331,1,20.6445351832626,1.11419677734375,43.49951171875,40.5669593811035,,,,,,,,,,,,,,,,
,3875403714.31366,1.80168216228485,-124932.3203125,,,,,,,,,,,,,-0.55227204998827,3.65940978333851E-5,0.00195382392900836,10,2,,80,2,4056,,,-0.537837607469738,-0.00859727767407367,-0.00327440048567951,0.00118863105308264,,,,0.1364358968376,39.995735168457,1.99885857185125,1.73085176944733,1.80150580406189,1.80192029476166,-124985.3984375,-124879.2421875,0.0545308850705624,1,6,3,4,23.1730000402331,1,20.6458714205174,1.12136840820312,43.49951171875,39.5894432067871,,,,,,,,,,,,,,,,
,3875403716.36702,1.801533639431,-125035.92578125,,,,,,,,,,,,,-0.552748975947392,2.85906580584009E-5,0.00194952578929959,10,2,,80,2,4057,,,-0.538309359076031,-0.00861453222208466,-0.00327721633948386,0.00118967471644282,,,,0.136553056455562,39.995735168457,1.99882718256028,1.73091113567352,1.80144238471985,1.80159473419189,-125086.453125,-124985.3984375,0.0545686408877373,1,6,3,4,23.1730000402331,1,20.6451697337951,1.12251281738281,43.9882698059082,39.5894432067871,,,,,,,,,,,,,,,,
,3875403718.42087,1.80144572257996,-125139.73046875,,,,,,,,,,,,,-0.553160571694159,3.86529542224052E-5,0.00197626169791531,10,2,,80,2,4058,,,-0.538718108965898,-0.0086003306056254,-0.00327974837273359,0.00119067425839603,,,,0.136659629506164,39.995735168457,1.99887172092505,1.7308304309845,1.80117499828339,1.80160474777222,-125193.0078125,-125086.453125,0.054621409624815,1,6,3,4,23.1730000402331,1,20.6486159677547,1.1212158203125,43.9882698059082,40.0782012939453,,,,,,,,,,,,,,,,
,3875403720.47194,1.8016529083252,-125243.46875,,,,,,,,,,,,,-0.553625351094755,3.3517313864439E-5,0.00196982318944699,10,2,,80,2,4059,,,-0.539178027235092,-0.0086194442255898,-0.00328265014104545,0.00119161128532141,,,,0.136779208391657,39.995735168457,1.99891116992274,1.73084712028503,1.80154848098755,1.80178344249725,-125293.9296875,-125193.0078125,0.0546178743243217,1,6,3,4,23.1730000402331,1,20.6455699131338,1.11404418945312,43.9882698059082,39.5894432067871,,,,,,,,,,,,,,,,
,3875403722.51725,1.80152611732483,-125346.81640625,,,,,,,,,,,,,-0.554098377963592,3.24047168145093E-5,0.00199023140946812,10,2,,80,2,4060,,,-0.539646473746338,-0.00861255585628645,-0.00328531279228628,0.0011925472645089,,,,0.136889464949197,39.995735168457,1.99878796520968,1.73032963275909,1.80127549171448,1.80178034305573,-125399.703125,-125293.9296875,0.0544905252754688,1,6,3,4,23.1730000402331,1,20.6466248987925,1.12930297851562,45.4545478820801,39.5894432067871,,,,,,,,,,,,,,,,
,3875403724.56595,1.80116429328918,-125450.421875,,,,,,,,,,,,,-0.554568960681749,3.33771114923708E-5,0.00194612891913165,10,2,,80,2,4061,,,-0.540111343443123,-0.0086684555503154,-0.00328840222209692,0.00119374378118664,,,,0.137019409278624,39.995735168457,1.99896143677524,1.73060750961304,1.80108070373535,1.80138444900513,-125501.140625,-125399.703125,0.0544931329786777,1,6,3,4,23.1730000402331,1,20.6426390863439,1.11427307128906,43.9882698059082,39.5894432067871,,,,,,,,,,,,,,,,
