[Header]
; ACMS II Data File (default extension .dat)
; Copyright (c) 2014, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3875339809.840,10/19/2022,11:17 am
BYAPP,ACMS II,1.0,1.2
INFO,DYNACOOL ACMS II Option Release 1.0.8 Build 33,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 K0,MOTOR_HW_VERSION
INFO,MMC794,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,ACMS,ACMS_MODULE_NAME
INFO,3101-430 A0,ACMS_HW_VERSION
INFO,ACMSII028,ACMS_SERIAL_NUMBER
INFO,00.14.14,ACMS_SOFTWARE_VERSION
INFO,WF046,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,NiCl2pym,SAMPLE_MATERIAL
INFO,7.3mg cling film,SAMPLE_COMMENT
INFO,17.2,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
STARTUPGROUP, AC
FIELDGROUP, AC, 2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,20,21,22,23,24,25,35,43,44,45,46,47,48,49
FIELDGROUP, DC, 2,3,4,17,18,19,20,21,23,24,25,35,36,37,43,44,45,46,47,48,49,50,51
FIELDGROUP, Diagnostic, 26,27,28,29,30,31,32,33,34,38,39,40,41,42,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),AC Moment (emu),AC Std. Dev. (emu),AC Phase (deg),AC Phase Std. Dev. (deg),AC Suscept. (emu/Oe),AC Suscept. Std. Dev. (emu/Oe),AC X'  (emu/Oe),AC X" (emu/Oe),AC X' Std. Dev. (emu/Oe),AC X" Std. Dev. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),DC Moment (emu),DC Std. Err. (emu),DC Quad. Moment (emu),Range (mV),"AC=1 DC=2 Locate=3",Measure Type,Measure Count,Measure Time (sec),Measure Number,AC X' Raw (emu/Oe),AC X" Raw (emu/Oe),DC M. Raw' (emu),DC M. Raw" (emu),Coil InPhase (V),Coil Quadrature (V),Null Status,Trim Ratio,Trim Phase (deg.),Max. Signal (mV),Motor Frequency (Hz),Motor Ampl. (mm),System Temp. (K),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Pressure (Torr),Temp. Status (code),Field Status (code),Chamber Status (code),Measure Status (code),Center Position (mm),Transport Action,Motor Lag (deg),Motor Current (amps),Motor Heatsink Temp. (C),Motor Board Temp. (C),QMap 01,QMap 02,QMap 03,QMap 04,QMap 05,QMap 06,QMap 07,QMap 08,QMap 09,QMap 10,QMap 11,QMap 12,QMap 13,QMap 14,QMap 15,QMap 16
,3875352614.8647,2.99961338043213,-31585.623046875,,,,,,,,,,,,,-0.148681914591387,1.70159920589832E-5,-0.000108698795863301,10,2,,80,2,5329,,,-0.143372942296451,-0.00138633981484105,-0.000873893848620355,0.000312023243168369,,,,0.0363587230946005,39.995735168457,1.99754593500961,2.98750185966492,2.99944710731506,2.99972009658814,-31635.45703125,-31535.7890625,0.0964285060763359,1,6,3,4,23.3230000458956,1,20.7054679835186,1.11923217773438,43.9882698059082,38.6119270324707,,,,,,,,,,,,,,,,
,3875352616.93213,2.99945340156555,-31483.4443359375,,,,,,,,,,,,,-0.148428822065564,1.6695322177342E-5,-0.000114728696318684,10,2,,80,2,5330,,,-0.143127962054866,-0.00138795849350912,-0.000872349017299712,0.000311518204398453,,,,0.0362948761385745,39.995735168457,1.9974589316919,2.98776936531067,2.99932456016541,2.99958086013794,-31535.7890625,-31431.099609375,0.0965414270758629,1,6,3,4,23.3230000458956,1,20.7065830914964,1.12518310546875,43.9882698059082,40.0782012939453,,,,,,,,,,,,,,,,
,3875352618.98503,2.99930129051209,-31378.7060546875,,,,,,,,,,,,,-0.148165778050409,1.64204338876587E-5,-0.000128266383286959,10,2,,80,2,5331,,,-0.142873304450066,-0.00139668819917787,-0.000870816060341895,0.000311006704578176,,,,0.0362317773469274,39.995735168457,1.99752907625678,2.98786783218384,2.99920845031738,2.999347448349,-31431.099609375,-31326.3125,0.0965777635574341,1,6,3,4,23.3230000458956,1,20.7041885970348,1.12617492675781,44.4770278930664,40.0782012939453,,,,,,,,,,,,,,,,
,3875352621.02659,2.99926024675369,-31276.345703125,,,,,,,,,,,,,-0.147895952130816,1.59075467367064E-5,-0.000110150143557531,10,2,,80,2,5332,,,-0.142612404244832,-0.00137489073018326,-0.000869241775944829,0.00031036970904097,,,,0.0361652357311459,39.995735168457,1.99751348395709,2.987961769104,2.99917984008789,2.99932813644409,-31326.3125,-31226.37890625,0.0964678153395653,1,6,3,4,23.3230000458956,1,20.7075506793243,1.11892700195312,44.4770278930664,40.0782012939453,,,,,,,,,,,,,,,,
,3875352623.06385,2.99927768707275,-31176.4853515625,,,,,,,,,,,,,-0.147626773703606,1.62199525735348E-5,-0.000116625111347209,10,2,,80,2,5333,,,-0.142351943324649,-0.00137686848150465,-0.000867666967678815,0.000309749477310106,,,,0.0360992289879641,39.995735168457,1.99749963942618,2.98788976669312,2.99917984008789,2.99939584732056,-31226.37890625,-31126.591796875,0.0964521393179894,1,6,3,4,23.3230000458956,1,20.7023510229252,1.12571716308594,43.9882698059082,40.0782012939453,,,,,,,,,,,,,,,,
,3875352625.11295,2.99931687116623,-31074.203125,,,,,,,,,,,,,-0.147355986417186,1.77544148411722E-5,-0.00010943605326791,10,2,,80,2,5334,,,-0.142090032539426,-0.00136561678922614,-0.000866120564751327,0.000309180322801694,,,,0.036034574102247,39.995735168457,1.9976061406808,2.98774933815002,2.99922800064087,2.99942779541016,-31126.591796875,-31021.814453125,0.0965017154812813,1,6,3,4,23.3230000458956,1,20.7048627994762,1.11885070800781,44.4770278930664,40.0782012939453,,,,,,,,,,,,,,,,
,3875352627.17496,2.99935436248779,-30972,,,,,,,,,,,,,-0.147078545504066,1.7508866236047E-5,-0.000100884365166205,10,2,,80,2,5335,,,-0.141821722960461,-0.00135300378063946,-0.000864452740643174,0.000308553397189826,,,,0.0359647550431727,39.995735168457,1.99750741142286,2.988032579422,2.99926018714905,2.99942779541016,-31021.814453125,-30922.185546875,0.0964411124587059,1,6,3,4,23.3230000458956,1,20.7070608866339,1.11778259277344,43.9882698059082,39.5894432067871,,,,,,,,,,,,,,,,
,3875352629.22306,2.99923839569092,-30869.802734375,,,,,,,,,,,,,-0.146818674632817,1.74804289230075E-5,-0.000105838539065326,10,2,,80,2,5336,,,-0.141570245161934,-0.00135357187489536,-0.000862909131683409,0.00030802603578195,,,,0.0359006054273393,39.995735168457,1.99749920388486,2.98775696754456,2.99918341636658,2.99934935569763,-30922.185546875,-30817.419921875,0.0964661687612534,1,6,3,4,23.3230000458956,1,20.7072504055085,1.11785888671875,43.9882698059082,40.5669593811035,,,,,,,,,,,,,,,,
,3875352631.27384,2.99928555488586,-30767.5576171875,,,,,,,,,,,,,-0.146553008147447,1.8121645962937E-5,-0.000114833601389807,10,2,,80,2,5337,,,-0.141313149090927,-0.001357993598343,-0.000861354870721698,0.000307528796838596,,,,0.0358369661864207,39.995735168457,1.99757195211573,2.9879457950592,2.99916219711304,2.99935460090637,-30817.419921875,-30717.6953125,0.0966116711497307,1,6,3,4,23.3230000458956,1,20.7078579958037,1.11846923828125,44.4770278930664,40.5669593811035,,,,,,,,,,,,,,,,
,3875352633.33674,2.99928240776062,-30665.3271484375,,,,,,,,,,,,,-0.146275474970471,1.65170691491841E-5,-9.9941312783376E-5,10,2,,80,2,5338,,,-0.141044818810394,-0.00133928903425982,-0.000859740248415619,0.000306820118566975,,,,0.0357677574448049,39.995735168457,1.99752443930265,2.98777627944946,2.99921774864197,2.99935460090637,-30717.6953125,-30612.958984375,0.0964369475841522,1,6,3,4,23.3230000458956,1,20.7065929622095,1.12579345703125,43.9882698059082,40.0782012939453,,,,,,,,,,,,,,,,
,3875352635.38154,2.99917471408844,-30563.099609375,,,,,,,,,,,,,-0.14602371067042,1.69062677017698E-5,-0.000111697686727043,10,2,,80,2,5339,,,-0.140801114486206,-0.00134650703923458,-0.000858219165820628,0.000306362810079008,,,,0.0357053202082188,39.995735168457,1.99750285932769,2.98812198638916,2.99906778335571,2.9992299079895,-30612.958984375,-30513.240234375,0.0964766591787338,1,6,3,4,23.3230000458956,1,20.707779203344,1.11717224121094,43.9882698059082,40.0782012939453,,,,,,,,,,,,,,,,
,3875352637.43406,2.99945268630981,-30460.80078125,,,,,,,,,,,,,-0.145738578501391,1.55849108226823E-5,-9.62312510029105E-5,10,2,,80,2,5340,,,-0.140525470698075,-0.00132719900817785,-0.000856582657434046,0.00030566263012588,,,,0.0356365374874181,39.995735168457,1.997521624522,2.98816251754761,2.9992299079895,2.99962735176086,-30513.240234375,-30408.361328125,0.0966095477342606,1,6,3,4,23.3230000458956,1,20.7076945355008,1.11854553222656,43.9882698059082,40.0782012939453,,,,,,,,,,,,,,,,
