nicl2pym,,nicl2pym_2,,RuMnCl4Pyz4,,RuMnCl4Pyz4_2,,nicl2BTD_gixawe,,nicl2BTD_gixawe_2,,Fe_pym_c12,,Fe_pym_c12_2,,FeCl2BTD,,FeCl2BTD_2,,FeCl2BTD_hohaja,,FeCl2BTD_hohaja_2,,NiCl2BTD_zusundi,,NiCl2BTD_zusundi_2,,FeCl2BTD_D4,,FeCl2BTD_D4_2,,
Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),Wavelength (nm),F(R),
769,0.09369777143,769,0.1116714701,769,0.01413221657,769,0.01299564168,769,0.1734228581,769,0.1622552276,769,0.01153827086,769,0.01009557862,769,0.0419398658,769,0.03925520927,769,0.8105454445,769,0.9017263055,769,0.8139677048,769,1.191350818,769,0.8464980125,769,0.7923374772,
768,0.09468869865,768,0.1129000857,768,0.01409785356,768,0.01296526566,768,0.1746145189,768,0.1633847505,768,0.01133650634,768,0.009886111133,768,0.04177347571,768,0.03884023055,768,0.8136128783,768,0.9041813612,768,0.817066133,768,1.194430113,768,0.8511604071,768,0.7923286557,
767,0.09629201144,767,0.1138254032,767,0.01474559866,767,0.01340081263,767,0.1765480042,767,0.1666420698,767,0.01135516819,767,0.010134276,767,0.04211515933,767,0.03903595358,767,0.8163397312,767,0.9100766182,767,0.8185322881,767,1.198924661,767,0.8533497453,767,0.7941845655,
766,0.09775134921,766,0.1159351245,766,0.01486324705,766,0.01377155632,766,0.17879197,766,0.167912975,766,0.01158678718,766,0.01013361942,766,0.04239264131,766,0.03932577744,766,0.8231168389,766,0.9130881429,766,0.8225622773,766,1.205288768,766,0.8558000326,766,0.7973210216,
765,0.09772925079,765,0.1155029386,765,0.01485536899,765,0.01378541999,765,0.1795324981,765,0.1690487117,765,0.01122309826,765,0.009977757931,765,0.04207572341,765,0.0386544168,765,0.8243861794,765,0.913780272,765,0.8197005987,765,1.202853322,765,0.8558750749,765,0.7979383469,
764,0.0987848714,764,0.1171566322,764,0.01535984781,764,0.0141918594,764,0.1809261441,764,0.1709114313,764,0.0113492636,764,0.009960910305,764,0.04225700349,764,0.03919826448,764,0.8289926052,764,0.9212312698,764,0.8243381977,764,1.207662702,764,0.8607238531,764,0.7984490395,
763,0.09986477345,763,0.1179354936,763,0.0156295374,763,0.01437295973,763,0.1833914965,763,0.1727837622,763,0.01130035333,763,0.009936911054,763,0.04217671975,763,0.03899111226,763,0.8317505717,763,0.9265916348,763,0.8248026967,763,1.211226583,763,0.8610803485,763,0.8013612628,
762,0.09991376847,762,0.1179990694,762,0.01558775268,762,0.01437859517,762,0.1837902516,762,0.1742581129,762,0.01111881901,762,0.009780556895,762,0.04198247939,762,0.0389518328,762,0.8325870037,762,0.9280914664,762,0.8236482739,762,1.212322474,762,0.8634081483,762,0.8021054268,
761,0.1010440588,761,0.1199240908,761,0.01593138278,761,0.01467211731,761,0.1869524568,761,0.1753774285,761,0.01128730457,761,0.009840454906,761,0.04219125584,761,0.03935051709,761,0.835019052,761,0.9302996993,761,0.8264628649,761,1.212510943,761,0.8653288484,761,0.8059626818,
760,0.1017374545,760,0.1200563237,760,0.01627944969,760,0.0147139458,760,0.1874615848,760,0.1766044945,760,0.0111163985,760,0.009835103527,760,0.04210318625,760,0.03903193027,760,0.8399176002,760,0.9334284663,760,0.8262058496,760,1.215463161,760,0.8669336438,760,0.8058197498,
759,0.1034831181,759,0.1218835562,759,0.01668205671,759,0.01528842282,759,0.1901795119,759,0.1792013645,759,0.01135855075,759,0.00983438082,759,0.04292885214,759,0.03977067769,759,0.843243897,759,0.9386940598,759,0.8317005038,759,1.219394922,759,0.872800529,759,0.8101434112,
758,0.1028885543,758,0.1219879165,758,0.01666993648,758,0.0152421426,758,0.1905318499,758,0.1803265065,758,0.01116446313,758,0.009596438147,758,0.0424840413,758,0.039316535,758,0.844912231,758,0.9408647418,758,0.8274586797,758,1.21765399,758,0.8686195016,758,0.8093200922,
757,0.1041735411,757,0.1235131398,757,0.01707260497,757,0.01568971388,757,0.1932305396,757,0.1820906848,757,0.01124754548,757,0.009634554386,757,0.04295649007,757,0.03955395147,757,0.8483021855,757,0.9452440739,757,0.832917273,757,1.22058475,757,0.8714224696,757,0.8125298023,
756,0.1044436097,756,0.1239112169,756,0.01734003797,756,0.01592713222,756,0.1946341842,756,0.1829680949,756,0.01113669295,756,0.009650291875,756,0.04277162254,756,0.0392004922,756,0.851971209,756,0.9490755796,756,0.8321433067,756,1.223628283,756,0.8760478497,756,0.8135609627,
755,0.104848884,755,0.1239420027,755,0.01737757586,755,0.01595325954,755,0.1949985623,755,0.1838483214,755,0.01087203342,755,0.009437633678,755,0.04276971146,755,0.03981877491,755,0.8530732989,755,0.9496224523,755,0.8308631778,755,1.223032355,755,0.8739415407,755,0.8129446507,
754,0.1063346341,754,0.1259076595,754,0.01795920171,754,0.01658711024,754,0.1989424825,754,0.1866903901,754,0.01108732354,754,0.009617793374,754,0.04334156588,754,0.04022300243,754,0.8597047925,754,0.957267642,754,0.8344209194,754,1.227706671,754,0.8811211586,754,0.8184836507,
753,0.1070647612,753,0.1260233968,753,0.01826355048,753,0.01671033166,753,0.1998100877,753,0.1886174977,753,0.01092831325,753,0.009432389401,753,0.04339822009,753,0.04001248628,753,0.860517323,753,0.9595377445,753,0.8350729942,753,1.231080174,753,0.8796188831,753,0.8200744987,
752,0.107687369,752,0.1276237518,752,0.01877160743,752,0.01700570621,752,0.2014299929,752,0.1902174354,752,0.01101602707,752,0.009614472277,752,0.04389653355,752,0.0407609567,752,0.8649786711,752,0.9658103585,752,0.8366096616,752,1.230986714,752,0.8820983171,752,0.8220410943,
751,0.1086026207,751,0.1284636557,751,0.01914746501,751,0.01756167226,751,0.2031467259,751,0.1923305094,751,0.01098836772,751,0.009704804979,751,0.04432478547,751,0.04053859413,751,0.8674951196,751,0.9665688872,751,0.8370246887,751,1.236432076,751,0.8847637177,751,0.8229039311,
750,0.1090477258,750,0.1284327209,750,0.01919607632,750,0.01778711937,750,0.2052216232,750,0.1936255395,750,0.01086639706,750,0.009503885172,750,0.04446227476,750,0.04130468145,750,0.873237133,750,0.9751346707,750,0.8380779624,750,1.236615539,750,0.8847048879,750,0.8261592388,
749,0.1100891158,749,0.1302318871,749,0.01963417046,749,0.01808016934,749,0.2064364105,749,0.1956212223,749,0.01103530917,749,0.009452546015,749,0.04471055791,749,0.04123260826,749,0.8738185167,749,0.9780949354,749,0.8390353322,749,1.238552094,749,0.8895087242,749,0.8271095157,
748,0.1113714501,748,0.1314604282,748,0.02003219165,748,0.01874274388,748,0.2084305286,748,0.1973214597,748,0.01104655024,748,0.009676137008,748,0.04565639421,748,0.04204234853,748,0.8798261881,748,0.9830275178,748,0.8408982158,748,1.242322326,748,0.893021524,748,0.8277832866,
747,0.1119139269,747,0.1319186538,747,0.02053570934,747,0.01904823631,747,0.21015127,747,0.1982633024,747,0.01098776143,747,0.009559527971,747,0.04586252943,747,0.04201531038,747,0.8816235065,747,0.982679069,747,0.842025578,747,1.242631674,747,0.8932415843,747,0.8309836984,
746,0.1128569245,746,0.133369714,746,0.02093353495,746,0.01928975619,746,0.2117606848,746,0.1992861927,746,0.01083936263,746,0.009398096241,746,0.04624649137,746,0.04223207012,746,0.8863835931,746,0.9890135527,746,0.8433132172,746,1.24550128,746,0.8949094415,746,0.8323966265,
745,0.1142927557,745,0.1345889717,745,0.02143331803,745,0.01972440258,745,0.2129212916,745,0.2010405362,745,0.01090054587,745,0.00959413778,745,0.04671896994,745,0.04283340648,745,0.8890921474,745,0.9954094887,745,0.8442083001,745,1.246582747,745,0.8977444172,745,0.8327406645,
744,0.1138992533,744,0.1359512061,744,0.0217119623,744,0.01992192864,744,0.2142203301,744,0.2024704963,744,0.01082967035,744,0.009430479258,744,0.0470353514,744,0.04331749678,744,0.8923937082,744,0.9965693951,744,0.845285058,744,1.250836849,744,0.90128088,744,0.8350591063,
743,0.1160630807,743,0.1372532696,743,0.02258632146,743,0.02074544504,743,0.2173407972,743,0.2053737044,743,0.01116582192,743,0.009575357661,743,0.04821112007,743,0.04433903098,743,0.9004412293,743,1.002593875,743,0.8461443186,743,1.252506375,743,0.9001885653,743,0.835126996,
742,0.1165306196,742,0.1384606212,742,0.02307594568,742,0.0210745465,742,0.2189932764,742,0.2068355829,742,0.01095363963,742,0.009602333419,742,0.0486676544,742,0.04482777044,742,0.901335001,742,1.008615136,742,0.8475061059,742,1.256543398,742,0.9038268924,742,0.8391469121,
741,0.1168556288,741,0.1387809217,741,0.02338856459,741,0.02164465003,741,0.2197460234,741,0.2080554664,741,0.01088643726,741,0.009574692696,741,0.04929956794,741,0.04511120915,741,0.9061028957,741,1.011335731,741,0.8482268453,741,1.255729556,741,0.9086808562,741,0.8411046267,
740,0.1184026301,740,0.1400288343,740,0.02415091358,740,0.02216128074,740,0.2218710482,740,0.2098074853,740,0.01105472445,740,0.009604435414,740,0.05034671351,740,0.04610910267,740,0.9098379612,740,1.016155362,740,0.8501250148,740,1.257448792,740,0.9092968702,740,0.843988955,
739,0.1189282089,739,0.1410635412,739,0.02475428395,739,0.02274397016,739,0.2225447446,739,0.2107509077,739,0.01095405966,739,0.009656549431,739,0.05070234835,739,0.04712178558,739,0.9131429195,739,1.020627141,739,0.8517272472,739,1.25961113,739,0.9104232192,739,0.8450267315,
738,0.1203392372,738,0.1425090134,738,0.02542461827,738,0.02327789553,738,0.2249222696,738,0.2120151371,738,0.01095937379,738,0.009786332957,738,0.05207749829,738,0.04740405083,738,0.9182749391,738,1.026272774,738,0.8526335359,738,1.265464187,738,0.916177392,738,0.8477613926,
737,0.1210900098,737,0.1433818042,737,0.02600639686,737,0.02403570153,737,0.2261966914,737,0.2142386138,737,0.0109540699,737,0.009662454948,737,0.05258529261,737,0.04849219322,737,0.9215832949,737,1.032177925,737,0.8536395431,737,1.264745474,737,0.9159291983,737,0.8516607285,
736,0.1216428578,736,0.1444227695,736,0.02668645047,736,0.02448847704,736,0.2272554785,736,0.2145802379,736,0.01110264566,736,0.00962495245,736,0.05364616588,736,0.04921331629,736,0.9269067049,736,1.037168741,736,0.8543846607,736,1.265209556,736,0.9176303148,736,0.8520823121,
735,0.1231462359,735,0.1458064318,735,0.02730256133,735,0.02529005334,735,0.2288128287,735,0.2169419229,735,0.01111786719,735,0.009792650118,735,0.05491411686,735,0.05016500503,735,0.9305832982,735,1.042566895,735,0.8565392494,735,1.27116251,735,0.921209693,735,0.8544502854,
734,0.1234528348,734,0.1460846364,734,0.02814206295,734,0.02589106746,734,0.22912696,734,0.2172003686,734,0.01112447865,734,0.009547761641,734,0.05561659858,734,0.0506520085,734,0.9351072907,734,1.044780612,734,0.8559858203,734,1.268951058,734,0.9216792583,734,0.8562618494,
733,0.1241264418,733,0.1476690024,733,0.02875042893,733,0.02634456009,733,0.2311143875,733,0.2185099274,733,0.0109163234,733,0.009753515944,733,0.05628622696,733,0.05187154561,733,0.9402931929,733,1.048578978,733,0.8551213145,733,1.271480083,733,0.9251912236,733,0.8589990735,
732,0.1251332313,732,0.1490489095,732,0.02974169515,732,0.02707537822,732,0.2320788056,732,0.2193680555,732,0.01108935848,732,0.009689982049,732,0.05819844455,732,0.05263764411,732,0.9417334199,732,1.054458022,732,0.859533906,732,1.273486137,732,0.9265201092,732,0.8607009053,
